Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0stkQt5poZVs82AOMNPzF6,"Tierra de Campeones ( Pa' los jugadores)","Tierra de Campeones","La T y La M",2026-05-20,166497,58,false,12141338138,2026-06-28T10:43:10Z,"cumbia","Sony Music Uruguay",0.438,0.693,3,-4.839,1,0.0898,0.499,0,0.741,0.662,81.136,4
spotify:track:30KjE6tdBRyIvAfQB7DIA7,"Mix Cumbiero 3: Coqueta/ Un X100To / El Amor de Su Vida","Mix Cumbiero 3: Coqueta/ Un X100To / El Amor de Su Vida","KINGTO",2025-12-18,270685,53,false,12141338138,2026-06-28T10:43:12Z,"","One Play Network",0.559,0.802,6,-2.728,0,0.0434,0.0743,0,0.239,0.855,125.986,3
spotify:track:7KtIu5XQnhlBYE3nQWDeXs,"Argentino yo soy","Tierra de Campeones","La T y La M",2026-05-20,132044,64,false,12141338138,2026-06-28T10:43:14Z,"cumbia","Sony Music Uruguay",0.62,0.748,10,-4.58,0,0.0934,0.379,0,0.2,0.883,85.213,4
spotify:track:3TfRpsYPQSXqqramSoWlNg,"Soy Favela","Soy Favela","La T y La M",2025-12-04,166000,75,false,12141338138,2026-06-28T10:43:16Z,"cumbia","Sony Music Uruguay",0.727,0.739,5,-5.387,0,0.0491,0.582,0,0.0603,0.89,85.004,4
spotify:track:5MKbWaXeSQSmzmo7gPQha1,"Amor de Vago","Amor de Vago","La T y La M;Malandro",2024-08-23,188423,76,false,12141338138,2026-06-28T10:43:23Z,"cumbia,rock argentino","GraceMusic",0.65,0.507,2,-7.27,1,0.111,0.706,0.00000247,0.0725,0.603,179.984,4
spotify:track:3ZMWr0qweJWTT3hrTqnJe2,"BORRACHO","BORRACHO","BM",2024-08-15,181740,62,false,12141338138,2026-06-28T10:43:27Z,"rkt,turreo,guaracha,cumbia","DALE PLAY Records / Wesaisons Records",0.689,0.371,0,-13.603,1,0.0623,0.104,0,0.0777,0.464,84.954,4
spotify:track:6ILIhq9LFEVu3k2casEiQB,"Noche de Buenos Besos","Noche de Buenos Besos","Lira;Dj Ronel;Gino Mella",2024-10-03,146538,0,false,12141338138,2026-06-28T10:44:01Z,"rkt,turreo,guaracha,cuarteto,cumbia","One Play Network",0.7,0.679,6,-6.891,1,0.0383,0.0924,0,0.476,0.882,91.023,4
spotify:track:4jbwkqZ9SAVx0lNSR849WF,"Fumando Porro Tomando Vino","Fumando Porro Tomando Vino","La Reforma Kumbiera",2022-12-21,136000,32,true,12141338138,2026-06-28T10:46:37Z,"trap argentino","Pestaña Records",0.685,0.445,9,-7.551,0,0.0517,0.326,0,0.0228,0.901,89.949,4
spotify:track:7JB29gnUowzSGRdIpeVqRQ,"M.A - Remix","M.A (Remix)","BM;Callejero Fino;La Joaqui;Lola Indigo",2023-04-05,272727,65,true,12141338138,2026-06-28T10:46:40Z,"rkt,turreo,guaracha,cumbia,reggaetón chileno,trap chileno,mambo chileno,mambo,cuarteto","DALE PLAY Records / Wesaisons Records",0.719,0.733,7,-4.576,1,0.0464,0.221,0,0.0676,0.614,87.978,4
spotify:track:0gXIjwux617VDCojlXoupd,"Corazon Partio","Corazon Partio","KINGTO;Dj Ronel",2024-10-18,152117,59,false,12141338138,2026-06-28T10:47:09Z,"rkt,turreo,guaracha","One Play Network",0.739,0.684,9,-5.131,0,0.0538,0.114,0,0.071,0.933,84.947,4
spotify:track:6il9B9hrZPNpXei57XM1Sv,"VIAJEMOS EN EL TIEMPO #1 | Quien Te Quiere Como Yo","VIAJEMOS EN EL TIEMPO #1 | Quien Te Quiere Como Yo","Max Carra;Lira",2025-06-12,173647,68,false,12141338138,2026-06-28T10:47:21Z,"urbano latino,rkt,turreo,guaracha","Espantapájaros Music",0.533,0.762,5,-3.614,1,0.0415,0.274,0,0.113,0.371,127.585,3
spotify:track:6AlwiCDmQ1BGtAmTRQP7jF,"Mix Cumbiero: Amanece / Luna / Se Me Olvida","Mix Cumbiero: Amanece / Luna / Se Me Olvida","KINGTO;Diel Paris",2025-05-08,190388,61,false,12141338138,2026-06-28T10:49:39Z,"cuarteto,cumbia","One Play Network",0.484,0.654,7,-5.744,0,0.0509,0.201,0,0.111,0.803,179.859,4
spotify:track:4FIDq6NTwNBOTx9L8lRYkY,"Tu jardín con enanitos","Tu Vecino Nos Conoce","Roze Oficial;Max Carra;Valen;RAMKY EN LOS CONTROLES",2026-04-23,175059,70,false,12141338138,2026-06-28T10:49:42Z,"hip hop de la costa este,urbano latino,cumbia,turreo,rkt,cuarteto","Sony Music Uruguay",0.49,0.639,7,-5.894,1,0.0397,0.0715,0,0.313,0.483,138.066,3
spotify:track:0UUQCiF7535Z1k7GFd9nvI,"AMANECE","Messirve Mix 8","La T y La M",2024-07-06,170234,63,false,12141338138,2026-06-28T10:50:11Z,"cumbia","GraceMusic",0.761,0.566,8,-6.508,0,0.0492,0.305,0,0.0802,0.931,87.979,4
spotify:track:1ecEN3A56asJKL90iCtshb,"Te Extraño","Te Extraño","Max Carra",2025-02-14,175333,61,false,12141338138,2026-06-28T10:50:59Z,"urbano latino","Espantapájaros",0.631,0.772,2,-5.844,1,0.0353,0.0961,0,0.149,0.904,134.961,3
spotify:track:3jTIWi8gffnJX14RjZOduZ,"VIAJEMOS EN EL TIEMPO #4 | Chica real","VIAJEMOS EN EL TIEMPO #4 | Chica real","Max Carra;El Villano",2025-10-02,135000,57,false,12141338138,2026-06-28T10:53:11Z,"urbano latino,cumbia,cuarteto","Espantapájaros Music",0.56,0.855,10,-3.841,0,0.045,0.0442,0.00000161,0.239,0.699,143.989,3
spotify:track:7D7CiwAGCkGi9sQYyCLhxh,"HOY","HOY","The La Planta",2024-05-16,177805,56,false,12141338138,2026-06-28T10:52:05Z,"cumbia,cuarteto","TLP Records",0.695,0.78,11,-4.716,1,0.0386,0.277,0,0.131,0.939,87.993,4
spotify:track:0wRuFXVLOgp8f2JTcCPYDb,"YO AK","Messirve Mix 8","La T y La M",2024-07-06,182919,54,true,12141338138,2026-06-28T10:52:32Z,"cumbia","GraceMusic",0.465,0.595,1,-7.316,0,0.0388,0.447,0.0000233,0.117,0.918,91.099,4
spotify:track:3qbVoltKLfC3J4CIyzgbfm,"Maquillaje","Maquillaje","KINGTO;Dj Ronel",2024-04-17,176470,49,false,12141338138,2026-06-28T10:53:19Z,"rkt,turreo,guaracha","One Play Network",0.795,0.355,0,-9.294,1,0.0896,0.347,0,0.113,0.954,85.007,4
