Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KqWBiEZxRmPPGDc0PkRoV,"Venus","True Confessions (Platinum Re-Issue)","Bananarama",1986,229164,0,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:55:56Z,"hi-nrg","Rhino",0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.91,126.113,4
spotify:track:0ayyT5zbXqlXEQWoa0JggL,"Voulez-Vous","Abba Gold Anniversary Edition","ABBA",2014-01-01,306786,44,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:57:13Z,"","Polar Music International AB",0.682,0.862,11,-4.8,0,0.0435,0.16,0.000414,0.155,0.896,126.393,4
spotify:track:1xPSDf8z4dH46gkvlLtvDO,"Maniac","Flashdance Original Soundtrack From The Motion Picture","Michael Sembello",1983-01-01,244706,7,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T22:00:58Z,"","Casablanca Records",0.617,0.533,3,-11.516,0,0.0651,0.0891,0.00000404,0.0415,0.835,158.86,4
spotify:track:67hbP9PFQZrb4XZc3TzB0s,"Rasputin - Single Version","Fantastic Boney M.","Boney M.",1984-12-03,220733,74,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:57:24Z,"disco","Hansa Local",0.694,0.719,6,-12.734,0,0.048,0.47,0.00121,0.44,0.972,126.212,4
spotify:track:3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,78,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:57:35Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
spotify:track:4z7maGZkAonDlXlwo8q69f,"Da Ya Think I'm Sexy?","Blondes Have More Fun","Rod Stewart",1978-11-24,331333,79,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:57:45Z,"rock suave","Rhino/Warner Records",0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504,4
spotify:track:2ENNh53D59sL2yHLS5BbvU,"I'm Your Boogie Man","The Very Best of KC & the Sunshine Band","KC & The Sunshine Band",1998-02-16,241920,25,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:57:49Z,"disco","Parlophone UK",0.765,0.927,5,-5.715,0,0.0399,0.0156,0.00000625,0.0391,0.927,113.325,4
spotify:track:2ThA2HEEfcn47HPh210woX,"Don't Stop 'Til You Get Enough - Single Version","Off The Wall","Michael Jackson",1979-08-10,364560,0,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:58:10Z,"","Epic",0.882,0.94,11,-4.235,1,0.0797,0.0675,0.0262,0.115,0.92,119.237,4
spotify:track:1A1eQ01CbtSZeyxj6489IS,"Thriller","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,357753,58,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:58:24Z,"","Epic",0.77,0.813,11,-6.614,1,0.0738,0.125,0.000197,0.889,0.787,118.413,4
spotify:track:5I6Kc6b1nZ6ssbXYghMb8G,"Bandido","The Collection","La Bionda",1994-01-27,264506,25,false,213qni5vbhavdmwphavp2tg6q,2020-11-25T21:58:30Z,"disco italiana,disco","Baby Records",0.879,0.613,0,-11.101,0,0.0425,0.431,0.00878,0.0815,0.961,124.915,4
