Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7iHm28nSEh3IbJ883vAOqo,"Volupté","Volupté","Nhyx",2021-03-26,193613,12,false,12141338138,2026-06-05T17:22:51Z,"","Pavillonn",0.778,0.755,5,-9.77,1,0.128,0.0206,0.676,0.107,0.674,119.018,4
spotify:track:3IiP1I2eqL9H1D1vzYHjKN,"Soulclap","Soulclap","Nhyx",2021-01-15,190413,22,false,12141338138,2026-06-05T17:23:15Z,"","Pavillonn",0.749,0.846,0,-8.875,1,0.0469,0.000756,0.883,0.561,0.51,120.984,4
spotify:track:71DOIAXXkY7StxajYgIT0a,"Zéro Absolu","Mydriaze","Contrefaçon",2019-09-20,217513,38,false,12141338138,2026-06-05T17:23:26Z,"tekno,acid techno","Panenka Music",0.334,0.885,2,-7.753,0,0.0429,0.1,0.89,0.441,0.0391,108.53,4
spotify:track:0DPenz1hSSH4O8PXyEaggl,"Attitude","Attitude","Lewis OfMan",2020-02-19,185120,44,false,12141338138,2026-06-05T17:23:35Z,"indie pop francés","Profil de Face",0.785,0.678,11,-7.253,0,0.0506,0.0138,0.0331,0.0509,0.387,101.016,4
spotify:track:1SJVmF7zEyNnt5jINkyrjd,"Arp (Mokoa Remix)","Mydriaze Remixes","Contrefaçon;Mokoa",2021-02-24,269138,9,false,12141338138,2026-06-05T17:23:50Z,"tekno,acid techno,tropical house","Panenka Music",0.829,0.693,9,-7.099,1,0.0971,0.00615,0.409,0.121,0.626,126.013,4
spotify:track:7ndxej99Pgl3UAoPhH4Bir,"Rave","Chez Mezerg","MEZERG",2021-01-18,233000,28,false,12141338138,2026-06-05T17:26:05Z,"","MZRG",0.729,0.796,2,-5.46,1,0.0706,0.0495,0.91,0.0658,0.126,139.927,4
spotify:track:1bAEqhUqmdSZZVXie1Uu7P,"Costa","Station balnéaire","Béesau",2020-08-28,234880,25,false,12141338138,2026-06-05T17:26:49Z,"","Universal Music Division Decca Records France",0.86,0.757,6,-6.289,1,0.108,0.31,0.571,0.107,0.597,116.987,4
spotify:track:7wGGEbRWCY7R19gROf3IgJ,"Just Fake It","Just Fake It","Contrefaçon",2022-02-11,175834,20,false,12141338138,2026-06-05T17:27:39Z,"tekno,acid techno","Contrefaçon",0.793,0.847,9,-6.058,1,0.0648,0.00232,0.338,0.405,0.301,123.003,4
spotify:track:5lXOqXFHGPEPvzWVcK97fD,"Crossing Paths","Daybreak","Kartell;SG Lewis",2021-02-19,244706,43,false,12141338138,2026-06-05T17:27:51Z,"nu disco,house francés","Roche Musique",0.827,0.745,4,-6.832,0,0.0443,0.0762,0.83,0.0753,0.387,115.047,4
spotify:track:3DIpQ9nHp0PReG4aJexsLS,"Victoire","Hyper Cristal","Irène Drésel",2019-03-29,154015,37,false,12141338138,2026-06-05T17:28:18Z,"electro","ONZE",0.618,0.912,1,-7.317,1,0.0285,0.00303,0.9,0.134,0.353,128.011,4
spotify:track:5AarBqEDC0oSYkQi427rDL,"Love Sensation - Radio Mix","Love Sensation","LOVRA",2015-03-02,243187,49,false,12141338138,2026-06-05T17:28:33Z,"tech house","Emma Music",0.745,0.622,9,-8.062,0,0.0424,0.171,0.719,0.134,0.569,121.931,4
spotify:track:6ym00pbnl8OPMrlFtBITbC,"Matcha","Nara","Makoto San",2020-04-03,232380,40,false,12141338138,2026-06-05T17:28:40Z,"","Transfuges",0.774,0.613,4,-8.882,0,0.056,0.358,0.899,0.0686,0.304,126.015,4
spotify:track:4T6RwdpGp6o9LaBnX7agbz,"Venice Beach, 6pm","Venice Beach, 6pm","MEZERG",2022-03-15,172615,25,false,12141338138,2026-06-05T17:28:54Z,"","MZRG",0.864,0.459,10,-12.936,0,0.0541,0.105,0.895,0.357,0.425,130.001,4
spotify:track:2TqOk29CGJLFt9IvCcqiRs,"TĀ MOKO","MASKOJ","Mokado",2023-03-10,214013,32,false,12141338138,2026-06-05T17:29:05Z,"","Le Hameau Records",0.648,0.775,5,-7.206,0,0.0398,0.00252,0.833,0.329,0.789,121.999,4
spotify:track:400e4yhcERPWkNHwBVOmWz,"Nachtigall - Obsimo Remix","Nachtigall (Obsimo Remix)","VAPA;Obsimo",2022-02-18,271101,20,false,12141338138,2026-06-05T17:29:18Z,"minimal techno,techno melódico,house orgánico","VAPA RECORDS",0.891,0.255,7,-9.357,0,0.379,0.258,0.804,0.169,0.755,116.073,4
spotify:track:69TJzjrOBcfKtrw5RPAsbX,"Black Block","Rock","neumodel",2020-04-17,168840,16,false,12141338138,2026-06-05T17:29:30Z,"","neumodel - Grand Musique Management",0.85,0.561,7,-9.427,1,0.131,0.0626,0.766,0.637,0.189,123.099,4
spotify:track:6l54l7AMzla3fI4zQL1w0M,"Molly","Addiction","Obsimo",2019-05-17,224837,33,false,12141338138,2026-06-05T17:29:57Z,"","Himitsu",0.821,0.55,4,-7.549,0,0.0657,0.00689,0.807,0.0913,0.153,125.004,4
spotify:track:45TKxpcLuYtQx9LWtSQNoC,"Pyrocene","Club Memories","Obsimo",2022-04-07,250000,48,false,12141338138,2026-06-05T17:30:11Z,"","Obsimo",0.649,0.686,1,-6.908,0,0.0319,0.00543,0.882,0.221,0.04,122.02,4
