Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2VK8hKsOHmWz6cHyPRtcOq,"CON EL COMBO","TURR4ZO","Trueno",2026-04-24,126809,71,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.785,0.682,7,-5.743,1,0.228,0.283,0,0.771,0.632,109.984,4
spotify:track:5pNl6duFJXd1RQbGsuvqtU,"X UNAS LLANTAS","TURR4ZO","Trueno",2026-04-24,163889,71,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.838,0.675,10,-5.912,0,0.0912,0.659,0.0000134,0.115,0.717,138.017,4
spotify:track:7MUu6jrCvu48LSrMRDQKv0,"TURRAZO","TURR4ZO","Trueno",2026-04-24,138161,77,true,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.905,0.521,9,-6.308,0,0.113,0.0804,0,0.0664,0.599,100,4
spotify:track:5Iu46UfunYa0I5CFGAW59y,"PUMAS","TURR4ZO","Trueno;Milo j",2026-04-24,208379,77,true,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.628,0.634,6,-6.174,0,0.241,0.774,0,0.17,0.562,119.898,4
spotify:track:2JxNMSXbMvzjOXyzleH5UZ,"ZOMBI","TURR4ZO","Trueno",2026-04-24,154549,72,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.87,0.693,2,-4.923,0,0.0733,0.738,0.0395,0.157,0.56,151.538,4
spotify:track:45Wn4dbRCFtFoRLjDouk5h,"ESTILO SUDAKA","TURR4ZO","Trueno",2026-04-24,138178,70,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.816,0.69,8,-3.71,0,0.0478,0.36,0,0.11,0.933,120.083,4
spotify:track:1amTpqTv1zPuHFecy51IJv,"BAILANDO SOLA","TURR4ZO","Trueno",2026-04-24,156055,69,true,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.882,0.721,8,-3.881,0,0.0534,0.25,0,0.0468,0.877,94.998,4
spotify:track:4JVmGFR0Qfx2XzF2pNg46Z,"90s","TURR4ZO","Trueno;Maria Becerra",2026-04-24,169597,72,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.652,0.751,3,-3.317,0,0.0447,0.146,0,0.328,0.664,140.908,4
spotify:track:2P17NwE5VjwX99Gu6eJ35z,"URUGUAY","TURR4ZO","Trueno;Ruben Rada",2026-04-24,130806,68,false,12141338138,2026-05-16T15:49:00Z,"trap argentino,candombe,murga","Sony Music Latin",0.633,0.652,10,-7.164,0,0.199,0.602,0.00000294,0.332,0.937,118.047,4
spotify:track:27eiKAqkQ1INARLdrJ1yy7,"GRILLZ","TURR4ZO","Trueno;Neo Pistea",2026-04-24,150551,67,false,12141338138,2026-05-16T15:49:00Z,"trap argentino,trap","Sony Music Latin",0.698,0.783,2,-5.218,1,0.206,0.518,0,0.182,0.411,74.977,4
spotify:track:1me2NylAXiVn3Gz0VOkold,"DELIVERY FREESTYLE","TURR4ZO","Trueno",2026-04-24,160920,68,true,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.789,0.662,6,-5.901,0,0.22,0.605,0.00000406,0.129,0.643,146.05,4
spotify:track:0sCHJbnAG1W3cxvQ1OG7VX,"1000 HORAS","TURR4ZO","Trueno;Andrés Calamaro",2026-04-24,172373,71,false,12141338138,2026-05-16T15:49:00Z,"trap argentino,rock argentino,rock en español,rock latino","Sony Music Latin",0.698,0.581,11,-7.399,0,0.422,0.589,0.00000119,0.067,0.331,179.956,4
spotify:track:6Gapf96kAOYRbY1NyowCUc,"RAIN IV","TURR4ZO","Trueno",2026-04-24,263749,72,true,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.505,0.62,11,-5.588,0,0.0987,0.882,0,0.296,0.684,133.353,4
spotify:track:7cRP2ka3qEYmm9x2VMZwdy,"PITY IN THE SKY","TURR4ZO","Trueno;Pity",2026-04-24,188007,63,false,12141338138,2026-05-16T15:49:00Z,"trap argentino","Sony Music Latin",0.435,0.523,0,-10.128,1,0.177,0.911,0.000184,0.133,0.464,87.785,4
