Archivo,Titulo RB,Tipo,Slot,Tiempo,ms,Loop fin (ms),Comentario,Color,BPM RB,ContentID
05 - Gasolina.flac,Gasolina,Hot Cue,B,0:06.046,6046,,,255,96.0,128503009
Daddy Yankee - Llamado De Emergencia (320).mp3,Daddy Yankee - Llamado De Emergencia (320),Hot Cue,C,0:03.800,3800,,,255,98.0,31722339
Daddy Yankee - Llamado De Emergencia (320).mp3,Daddy Yankee - Llamado De Emergencia (320),Hot Cue,D,0:08.698,8698,,,255,98.0,31722339
Daddy Yankee - Llamado De Emergencia (320).mp3,Daddy Yankee - Llamado De Emergencia (320),Hot Cue,F,3:05.026,185026,,,255,98.0,31722339
Daddy Yankee - Llamado De Emergencia (320).mp3,Daddy Yankee - Llamado De Emergencia (320),Hot Cue,G,3:09.924,189924,,,255,98.0,31722339
Daddy Yankee - Llamado De Emergencia (320).mp3,Daddy Yankee - Llamado De Emergencia (320),Hot Cue,H,3:14.822,194822,,,255,98.0,31722339
Donde Estan Las Gatas.mp3,Donde Estan Las Gatas,Hot Cue,A,0:08.682,8682,,,-1,110.03,138846809
Mackieaveliko - Aparentemente (feat. Arcangel & de la Ghetto).flac,Aparentemente (feat. Arcangel & de la Ghetto),Hot Cue,A,0:00.137,137,,,-1,94.0,211871574
Mackieaveliko - Aparentemente (feat. Arcangel & de la Ghetto).flac,Aparentemente (feat. Arcangel & de la Ghetto),Hot Cue,E,3:42.263,222263,,,-1,94.0,211871574
Mackieaveliko - Aparentemente (feat. Arcangel & de la Ghetto).flac,Aparentemente (feat. Arcangel & de la Ghetto),Hot Cue,F,3:47.370,227370,,,-1,94.0,211871574
Mackieaveliko - Aparentemente (feat. Arcangel & de la Ghetto).flac,Aparentemente (feat. Arcangel & de la Ghetto),Hot Cue,G,3:52.476,232476,,,-1,94.0,211871574
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,A,0:00.336,336,,,255,104.0,127919691
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,B,0:04.951,4951,,,255,104.0,127919691
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,C,0:09.567,9567,,,255,104.0,127919691
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,F,2:18.797,138797,,,255,104.0,127919691
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,G,2:23.412,143412,,,255,104.0,127919691
Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320).mp3,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video) (320),Hot Cue,H,2:28.027,148027,,,255,104.0,127919691
Zion x Ken-Y - More (La Formula) ft. Jory [Official Video] (320 kbps).mp3,Zion x Ken-Y - More (La Formula) ft. Jory [Official Video] (320 kbps),Hot Cue,A,0:00.432,432,,,-1,172.02,78080537
Zion x Ken-Y - More (La Formula) ft. Jory [Official Video] (320 kbps).mp3,Zion x Ken-Y - More (La Formula) ft. Jory [Official Video] (320 kbps),Hot Cue,B,0:03.223,3223,,,-1,172.02,78080537
la-groupie-de-la-ghetto-ft-nejo-luigi-21-plus-nicky-jam-y-nengo-flow-prod-by-dj-blass-y-wassie-(mp3convert.org).mp3,la-groupie-de-la-ghetto-ft-nejo-luigi-21-plus-nicky-jam-y-nengo-flow-prod-by-dj-blass-y-wassie-(mp3convert.org),Hot Cue,A,0:04.851,4851,,,-1,160.0,120603863
plan-b-candy-(mp3convert.org).mp3,plan-b-candy-(mp3convert.org),Hot Cue,A,0:14.636,14636,,,-1,96.0,55482492
ven-bailalo-reggaeton-mix-(mp3convert.org).mp3,ven-bailalo-reggaeton-mix-(mp3convert.org),Hot Cue,A,0:00.322,322,1559,,255,97.0,56369182
y2mate.com - Grupo C4  Quedate Reggaeton  2010VIDEO OFICIAL HD_320kbps.mp3,y2mate.com - Grupo C4  Quedate Reggaeton  2010VIDEO OFICIAL HD_320kbps,Hot Cue,A,0:26.627,26627,,,-1,96.0,6545867
yandel-plakito-remix-audio-ft-el-general-gadiel-farruko-(mp3convert.org).mp3,yandel-plakito-remix-audio-ft-el-general-gadiel-farruko-(mp3convert.org),Hot Cue,A,0:07.085,7085,,,-1,91.0,108929580
